FOLDER,SONG,SOLO_TRACK,START_BAR,END_BAR,SIGNATURE,KEY,CHORDS
muddy_waters,honey_bee.gp3,1,6,13,3,G,"Em-1/2,B7-1/2,Em7-1/2,B7-3/2,Em7-1/2,B7-1/2,A7-2,Em7-1/2,B7-1/2,Em-1"
b_b_king,b_b_blues.gp4,1,1,7,4,F#,"A#m7-3,A#7-1/2,A#m7-5/2,D#m-1"
b_b_king,bad_luck_soul_solo.gp4,1,1,12,4,D,"D5-4,G-1,D-3,A-1,G-1,D-1,A-1"
b_b_king,everything_i_do_is_wrong.gp4,1,37,48,4,G,"G5-1,C7-1,G7-2,C7-2,G7-2,D7-1,C7-1,G7-3/2,D7-1/2"
b_b_king,paying_the_cost_to_be_the_boss.gp4,1,21,32,4,A,"D5-4,F#5-4,A#5-3,D-1"
b_b_king,rock_me_baby.gp4,1,37,48,4,C,"C7-4,F7-2,C7-2,G7-1,F7-1,C7-1,G7-1"
b_b_king,ten_long_years.gp3,1,25,48,4,G,"G-1,C7-1,G-1,G7-1,C7-2,G-2,D7-1,C7-1,G-1/2,C7-1/2,G-1/2,G7-1/2,G-1,C7-1,G-2,C7-2,G-2,D7-1,C7-1,G-1/2,C7-1/2,G-1/2,G7-1/2"
b_b_king,the_thrill_is_gone.gp3,1,38,47,4,G,"Bm-4,Em-2,Bm-2,G-1,F#-1"
stevie_ray_vaughan,change_it_guitar_solos.gp3,1,1,8,4,C,"Am-1,F7-1,Am-1,F7-1,Am-1,G-1,F-1,Am-1"
stevie_ray_vaughan,couldn_t_stand_the_weather.gp3,3,81,96,4,E,"E7-16"
stevie_ray_vaughan,crossfire.gp3,1,58,73,4,F#,"D#m-16"
stevie_ray_vaughan,honey_bee.gp3,1,17,28,4,C#,"A#m-3,D#m-2,G#-2,D#m-2,A#-1,G#-1,A#m-1"
stevie_ray_vaughan,let_me_love_you_baby.gp4,1,46,61,4,E,"E-1,A-1,E7-4,A7-2,E7-2,C7-1,A7-1,E7-4"
stevie_ray_vaughan,love_struck_baby.gp3,1,34,49,4,D#,"G#7-1,G7-2,G#7-8,G7-5"
stevie_ray_vaughan,mary_had_a_little_lamb.gp4,1,41,56,4,D#,"G#7-2,D#7-2,A#7-2,D#7-2,G#7-2,D#7-2,A#7-2,D#7-2"
stevie_ray_vaughan,pride_and_joy.gp3,1,53,76,4,D#,"D#-2,G#-2,D#-2,A#-2,G#-2,D#-4,G#-2,D#-2,A#-2,G#-2,D#-2"
stevie_ray_vaughan,say_what.gp4,1,34,49,4,C,"C7-1,G7-1,F7-1,C7-6,F7-2,C7-2,G7-1,F7-1,C7-1"
stevie_ray_vaughan,tell_me.gp4,1,41,64,4,B,"B-4,E-2,B-2,G#-1,E-1,B-3/2,F#7-1/2,B-4,E-2,B-2,F#-1,E-1,B-3/2,F#7-1/2"
stevie_ray_vaughan,tightrope.gp3,2,27,42,4,A#,"A#7-4,D#7-2,A#7-2,F7-1,D#7-1,A#7-6"
eric_clapton,a_certain_girl.gp5,1,17,33,4,C,"C-4,A#7-2,C7-2,G-1,A7-1,C-2,A7-1,A#7-3,C-1"
eric_clapton,after_midnight.gp3,2,11,24,4,C,"C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,C5-1/2,F5-1/2,F-2,G-2,C-1"
eric_clapton,badge.gp3,2,44,59,4,G,"D-1,G-1,D-1,G-1,D-1,G-1,D-1,G-1,D-1,G-1,D-1,G-1,D-1,G-1,D-1,G-1"
eric_clapton,bell_bottom_blues.gp4,1,41,48,4,C,"F-1/2,G-1/2,C-1,A5-1/2,G-1/2,F-1/2,G-1/2,F-1,C-1/2,E-1/2,A5-1/2,G-1/2,F-1/2,G-1/2"
eric_clapton,double_trouble.gp4,1,15,26,4,C,"C5-2,F7-1,C5-2,F7-2,C5-2,G5-1,F-1,C-1"
eric_clapton,i_ain_t_got_you.gp3,1,28,40,4,G,"G7-13"
eric_clapton,knocking_on_heavens_door.gp3,1,20,31,4,G,"G-1/2,D-1/2,Am-1,G-1/2,D-1/2,Am-1,G-1/2,D-1/2,Am-1,G-1/2,D-1/2,Am-1,G-1/2,D-1/2,Am-1,G-1/2,D-1/2,Am-1"
eric_clapton,lawdy_mama.gp3,1,5,12,4,A,"A7-1/2,D7-2,A7-2,E7-1,D7-1,A7-3/2"
eric_clapton,lay_down_sally.gp3,1,57,88,4,A,"A7-32"
eric_clapton,layla.gp3,3,68,93,4,F,"Dm-3/8,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-1/2,Dm-1,A#-1/2,C-9/8,C-2"
eric_clapton,motherless_children.gp4,1,12,19,4,A,"C#m-1,G7-1,Am-2,A5-1,D5-1,A5-3/2,D5-1/2"
eric_clapton,outside_woman_blues.gp5,1,40,47,4,E,"E7-8"
eric_clapton,sign_language.gp4,2,45,55,4,G,"D-1,Em-1,C-1,G-1,G-2,D-1,G-1,Em-2,D-1"
eric_clapton,someone_like_you.gp3,2,46,53,4,G,"G-1,D-2,G-2,D-2,G-1"
eric_clapton,sunshine_of_your_love.gp3,1,59,82,4,D,"D7-8,G7-4,D7-4,A-1,C-1/2,G-1/2,A-1,C-1/2,G-1/2,A-1,C-1/2,G-1/2,A-2"
eric_clapton,white_room.gp3,1,32,47,4,C,"D5-1/2,Csus2-1/2,G5-1/2,F5-1/4,C5-1/4,D-1/2,C5-1/2,G5-1/2,F5-1/4,C5-1/4,D-1/2,C5-1/2,G5-1/2,F5-1/4,C5-1/4,D-1/2,C5-1/2,G5-1/2,F5-1/4,C5-1/4,D5-1/2,Csus2-1/2,G5-1/2,F5-1/4,C5-1/4,D-1/2,C5-1/2,G5-1/2,F5-1/4,C5-1/4,D-1/2,C5-1/2,G5-1/2,F5-1/4,C5-1/4,D-1/2,C5-1/2,G-1"
jimi_hendrix,ain_t_no_telling.gp4,1,33,44,4,D,"C#m6-7,G7-1,C#m6-4"
jimi_hendrix,all_along_the_watchower.gp3,1,26,33,4,D#,"Cm-1/2,A#-10/8,Cm-3/4,A#-10/8,Cm-3/4,A#-10/8,Cm-3/4,A#-3/2"
jimi_hendrix,astro_man.gp3,3,41,56,4,B,"G#m-3/2,B-1/2,C#m-1/2,G#m-3/2,C#m-1/2,G#m-1,B-1/2,G#m-3/2,B-1/2,C#m-2,F#7-6"
jimi_hendrix,bold_as_love.gp3,3,31,42,4,D,"A-1/2,Bm-1/2,D-1/2,G-1/4,G#-1/4,A-1/2,E-1/2,F#m-1/2,A7-1/2,A-1/2,E-1/2,F#m-1,A-1/2,E-1/2,F#m-1/2,G-1/2,A-1/2,E-1/2,F#m-1/2,G-1/2,Bm-1,D-1"
jimi_hendrix,come_on_part_one.gp3,1,46,69,4,G,"E5-1,A5-1,E5-2,A5-2,E5-2,B5-1,A5-1,E5-1,B5-1,E5-1,A5-1,E5-2,A5-2,E5-2,B5-1,A5-3"
jimi_hendrix,day_tripper.gp4,1,46,63,4,E,"B5-18"
jimi_hendrix,dolly_dagger.gp3,2,53,68,4,A#,"A#-1,Fm-1,A#7-1,Fm-1,A#-1,Fm-1,A#7-1,Fm-1,A#7-1,Fm-1,A#7-1,Fm-1,A#7-1,Fm-1,A#7-1,Fm-1"
jimi_hendrix,fire.gp3,1,54,69,4,D,"E5-1,B5-1,E5-1,B5-1,E5-1,B5-1,E5-1,B5-1,G5-1,D5-1,G5-1,D5-5"
jimi_hendrix,foxey_lady.gp3,2,43,51,4,A,"F#m7-9"
jimi_hendrix,freedom.gp4,2,57,72,4,D,"F#m7-1,E-1,F#m7-1,E-1,F#m7-1,E-1,F#m7-1,E-1,F#m7-1,E-1,F#m7-1,E-1,F#m7-1,E-1,F#m7-1,E-1"
jimi_hendrix,hey_joe.gp3,1,37,48,4,E,"C-1/2,Gsus2-1/2,D-1/2,A-1/2,E-3/2,E7-1/2,C-1/2,Csus2-1,A7-1/2,A-4,E-2"
jimi_hendrix,little_miss_lover.gp4,2,34,41,4,C,"A5-8"
jimi_hendrix,little_wing.gp3,1,32,38,4,F#,"D#m-1,F#-1,G#m-1,D#m7-1,C#-1,G#m-3/4,C#-1/4,F#-1/2,E-1/2"
jimi_hendrix,manic_depression.gp3,1,77,100,3,G#,"G#7-24"
jimi_hendrix,spanish_castle_magic.gp3,1,39,50,4,C#,"C#5-12"
