FOLDER,SONG,SOLO_TRACK,START_BAR,END_BAR,SIGNATURE,KEY,CHORDS
pantera,10s.gp5,4,81,103,4,F,"Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,Am-1/2,F-1,Dm7-1/2,F-1,Dm7-1,C-1,Am-1/2,C-1/2,F-1,Em-2"
pantera,by_demons_be_driven.gp4,1,100,115,4,F#,"F#5-1,A#5-1,F#5-1,A#5-1,B5-1/2,F#5-3/2,B5-1/2,F#5-3/2,F#5-1,A#5-1,F#5-1,A#5-1,B5-1,F#5-1,B5-1,F#5-1"
pantera,cat_scratch_fever.gp5,3,55,68,4,A,"A5-8,D5-1/2,E5-1/2,C5-1/2,D5-1/2,A5-4"
pantera,floods.gp4,3,60,75,4,F#,"A#5-1,F#5-1,D#5-1,G#5-1/2,A5-1/2,A#5-1,F#5-1,D#5-1,G#5-1/2,A5-1/2,A#5-1,F#5-1,D#5-1,G#5-1/2,A5-1/2,A#5-1,F#5-1,D#5-1,G#5-1/2,A5-1/2"
pantera,rise.gp4,1,129,160,4,F#,"D#m-32"
pantera,shattered.gp4,2,54,65,4,E,"C#5-4,D#5-4,C#5-4"
pantera,the_sleep.gp4,3,59,74,4,C,"Am6-1/2,Caug-1/2,Csus2-1,Am6-1/2,Caug-1/2,Csus2-1,Fdim7-2,A5-3/2,F5-1/2,D5-1/2,G5-1/2,A5-1/2,F5-1/2,D5-1/2,G5-1/2,A5-1/2,F5-1/2,D5-1/2,G5-1/2,A5-1/2,F5-1/2,D5-1/2,G5-1/2,E5-1"
pantera,walk.gp3,1,86,93,4,C#,"C#5-8"
pantera,where_you_come_from.gp4,1,81,96,4,D,"D5-8,C#5-1,C5-1,B5-1,A#5-1,C#5-1,C5-1,B5-1,A#5-1"
metallica,battery.gp3,8,100,123,4,G,"E5-7,A5-1,E5-7,A5-1,E5-1,G5-1,A5-1,F#5-1,E5-1,G5-1,A5-1,F#5-1"
metallica,enter_sandman.gp3,4,85,100,4,G,"E5-8,F#5-4,F#5-1/2,B5-1/2,F#5-1/2,B5-1/2,F#5-1/2,B5-1/2,E5-1"
metallica,for_whom_the_bell_tolls.gp3,2,39,54,4,G,"E5-2,G5-2,E5-2,G5-1,C5-1/2,A5-1/2,E5-2,G5-2,E5-2,G5-1,C5-1/2,A5-1/2"
metallica,fuel.gp4,3,171,190,4,F#,"D#5-3,G#5-1,D#5-3,G#5-1,D#5-1/2,F#5-1/2,D#5-1/2,F#5-1/2,D#5-1/2,F#5-1/2,G#5-1,D#5-1/2,F#5-1/2,D#5-1/2,F#5-1/2,D#5-1/2,F#5-1,F5-1/4,E5-1/4,D#5-3,F5-1/2,G#5-1/2"
metallica,harvester_of_sorrow.gp3,2,88,95,4,G,"E5-3,G5-1,E5-4"
metallica,jump_in_the_fire.gp4,4,105,120,4,A#,"A#5-2,G5-2,A#5-2,G5-2,A#5-2,G5-2,A#5-2,G5-2"
metallica,master_of_puppets.gp3,1,199,214,4,G,"Em-1/2,D-1,Asus2-5/2,Em-1/2,D-1,Asus2-5/2,Em-1/2,D-1,Asus2-5/2,Em-1/2,D-1,Asus2-5/2"
metallica,one.gp3,3,72,83,3,G,"D-1,G-1,F-1,Em-1,D-1,G-1,F-1,Em-1,D-1,G-1,F-1,Em-1"
metallica,orion.gp3,2,102,117,4,E,"E5-2,B5-2,E5-2,B5-2,B5-1/2,A5-1/2,B5-1/2,A5-1/2,A5-1,F#5-1,B5-1/2,A5-1/2,B5-1,F#5-1,E5-1"
metallica,ride_the_lightning.gp4,2,56,67,4,G,"E5-1,C5-1,A5-2,E5-1,C5-1,A5-2,E5-1,C5-1,A5-2"
metallica,the_unforgiven.gp3,4,69,75,4,C,"A5-1/4,C5-1/4,E5-1/2,D5-1/2,A5-1/2,A5-1/4,C5-1/4,E5-1/2,D5-1/2,A5-1/2,A5-1/4,C5-1/4,E5-1/2,D5-1/2,A5-1/2,A5-1/4,C5-1/4,E5-1/2"
black_sabbath,black_sabbath.gp4,1,97,120,4,G,"G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1,G5-1,C-1"
black_sabbath,children_of_the_grave.gp4,1,131,146,4,C#,"C#5-16"
black_sabbath,headless_cross.gp4,1,97,108,4,F#,"D#5-8,C5-4"
black_sabbath,hole_in_the_sky.gp5,1,39,54,4,A,"F#5-3/2,A5-1/4,B5-1/4,F#5-3/2,B5-1/4,A5-1/4,F#5-3/2,A5-1/4,B5-1/4,F#5-3/2,B5-1/4,A5-1/4,F#5-3/2,A5-1/4,B5-1/4,F#5-3/2,B5-1/4,A5-1/4,F#5-3/2,A5-1/4,B5-1/4,F#5-3/2,B5-1/4,A5-1/4"
black_sabbath,into_the_void.gp4,2,107,112,4,C#,"C#5-6"
black_sabbath,iron_man.gp3,1,64,79,4,E,"C#5-16"
