FOLDER,SONG,SOLO_TRACK,START_BAR,END_BAR,SIGNATURE,KEY,CHORDS
the_beatles,a_hard_day_s_night.gp3,4,46,53,4,C,"G-1/2,C-1/2,G-1,F-1,G-3/2,C-1/2,G-1,F-1,G-1"
the_beatles,act_naturally.gp3,3,53,61,4,G,"G-1,D-2,G-2,D-2,G-2"
the_beatles,all_my_loving.gp3,1,40,47,4,A,"C#m7-1,A-2,E-2,F#m-2,E-1"
the_beatles,and_i_love_her.gp3,1,44,53,4,F,"Gm-1,Dm-1,Gm-1,Dm-1,Gm-1,Dm-1,A#-1,C-1,F-2"
the_beatles,and_you_re_bird_can_sing.gp3,2,29,36,4,D,"D-4,Em-1,G-1,D-2"
the_beatles,baby_it_s_you.gp4,4,48,56,4,G,"Em-1,C-1,D-1,G-2,C-1,D-1,G-2"
the_beatles,baby_s_in_black.gp3,3,32,38,3,A,"A-1/2,E-1/2,A-1,E-1,D-1,E-1,A-2"
the_beatles,back_in_the_ussr.gp3,1,46,53,4,A,"A-1,D-1,C-1,D-1,A-1,D-1,C-1,D-1"
the_beatles,boys.gp3,3,42,53,4,E,"E-4,A-2,E-2,B-1,A-1,E-1,B7-1"
the_beatles,can_t_buy_me_love.gp3,1,52,63,4,C,"C7-5,F7-2,C7-2,G7-1,F7-1,C7-1"
the_beatles,come_together.gp3,4,44,51,4,D,"D5-4,A5-4"
the_beatles,dig_a_pony.gp3,1,46,58,3,A,"A-4,F#m-2,Bm-1,G7-2,Bm-1,G7-1,E-2"
the_beatles,don_t_bother_me.gp3,3,56,63,4,G,"Em-1,B-1,A-1,G-1,E-1,B-1,A-1,G-1"
the_beatles,drive_my_car.gp3,1,35,42,4,D,"D7-1,G7-1,D7-1,G7-1,D7-1,G7-1,A7-2"
the_beatles,every_little_thing.gp3,1,43,48,4,A,"A-1,D-1/4,E-3/4,A-1,G-1/4,D-3/4,Bm-1,E-1/2,A-1/2"
the_beatles,fixing_a_hole.gp3,3,39,46,4,F,"F-1/2,Aaug-1/2,G#-1/2,Ddim-1/2,G#-1,Ddim-1,G#-1,Ddim-1,G#-1,A#7-1"
the_beatles,free_as_a_bird.gp4,3,54,59,4,C,"C-1/2,Am-1/2,Fm-1/2,G-1/2,C-1/2,Am-1/2,Fm-1/2,G-1/2,C-1/2,Am-1/2,Fm-1/2,G-1/2"
the_beatles,helter_skelter.gp3,4,35,39,4,E,"E7-1,A-1,E7-1,A-1,E7-1"
the_beatles,hey_bulldog.gp3,6,32,39,6,E,"B-1,F#m-1,B-1,F#m-1,A-1,F#m-1,E-1,B-1"
the_beatles,i_feel_fine.gp5,2,51,65,4,G,"G7-5,D7-4,C7-2,G7-4"
the_beatles,i_saw_her_standing_there.gp3,2,64,79,4,E,"E7-6,B7-2,E7-2,A7-1,C7-1,E7-1,B7-1,E7-2"
the_beatles,octopus_s_garden.gp3,1,36,44,4,A,"E-1,A-1,F#m-1,D-1,E-1,A-1,F#m-1,D-1,A-1"
the_beatles,one_after_909.gp3,3,72,87,4,B,"B7-10,E7-2,B7-1,F#7-1,D#dim-2"
the_beatles,roll_over_beethoven.gp3,2,61,72,4,D,"D-1,D5-1,G5-1,D5-2,G5-2,D5-2,A5-1,G5-1,D5-1"
